,MaxBenefit,x0,sigma,MassLoss,GrowthRate,OffspringNum,Symmetry,OffspringSet,dummy
0,0.22899999999999998,5.0,3.0,1.0,1.1079225920435831,8,0.9829,1.36; 1.36; 1.36; 1.36; 1.36; 1.36; 1.35; 1.37;,
1,2.188,5.0,1.0,1.0,1.7194219997249889,2,0.9995,3.12; 3.12;,
2,1.585,5.0,3.0,1.0,2.105409960123737,3,0.9971,2.46; 2.45; 2.45;,
3,0.24,5.0,10.0,1.0,1.193238650470926,16,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
4,0.105,5.0,3.0,1.0,1.0387296438852864,26,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
5,0.191,5.0,3.0,1.0,1.084508192934924,11,1.0,1.14; 1.14; 1.14; 1.14; 1.14; 1.14; 1.14; 1.14; 1.14; 1.14; 1.14;,
6,1.202,5.0,3.0,1.0,1.8146330661603864,3,0.9908,2.47; 2.47; 2.49;,
7,1.2590000000000001,5.0,3.0,1.0,1.8579135572032321,3,0.9949,2.48; 2.46; 2.48;,
8,5.754,5.0,10.0,1.0,6.258328684584957,10,1.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
9,0.8320000000000001,5.0,3.0,1.0,1.5366049969183182,4,0.9932,2.02; 2.0; 2.0; 2.01;,
10,0.126,5.0,10.0,1.0,1.092576989124881,19,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
11,2.884,5.0,1.0,1.0,1.9765811117393317,2,0.9999,3.09; 3.09;,
12,6.31,5.0,3.0,1.0,5.688820042002082,3,0.995,2.38; 2.39; 2.38;,
13,0.55,5.0,3.0,1.0,1.3302106417966444,4,0.9925,2.08; 2.08; 2.07; 2.06;,
14,7.244,5.0,1.0,1.0,3.5147588549615185,2,0.997,3.05; 3.06;,
15,2.884,5.0,10.0,1.0,3.617438723342911,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
16,0.182,5.0,10.0,1.0,1.1416327725962998,17,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
17,7.586,5.0,1.0,1.0,3.6327500705688607,2,0.9972,3.05; 3.04;,
18,3.9810000000000003,5.0,1.0,1.0,2.372319884422814,2,0.9992,3.07; 3.07;,
19,0.501,5.0,3.0,1.0,1.294464380892125,5,0.9858,1.73; 1.74; 1.74; 1.75; 1.75;,
20,0.191,5.0,10.0,1.0,1.14959187348492,17,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
21,1.202,5.0,10.0,1.0,2.071074385348159,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
22,3.9810000000000003,5.0,3.0,1.0,3.923126314455737,3,0.9959,2.4; 2.39; 2.38;,
23,1.905,5.0,10.0,1.0,2.7173990310494576,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
24,7.586,5.0,3.0,1.0,6.6560135808888266,3,0.9989,2.38; 2.38; 2.38;,
25,0.794,5.0,10.0,1.0,1.6972091813288663,12,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
26,0.151,5.0,3.0,1.0,1.0618029326580525,16,0.0,1.02; 1.02; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
27,1.585,5.0,10.0,1.0,2.4231747490182136,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
28,2.884,5.0,3.0,1.0,3.0911465299165224,3,0.9967,2.41; 2.4; 2.41;,
29,0.263,5.0,3.0,1.0,1.1298532593190758,7,0.9849,1.46; 1.47; 1.46; 1.46; 1.46; 1.45; 1.46;,
30,0.316,5.0,3.0,1.0,1.165234589111784,6,0.9806,1.6; 1.6; 1.59; 1.59; 1.59; 1.61;,
31,7.244,5.0,3.0,1.0,6.396793648889076,3,0.995,2.37; 2.37; 2.38;,
32,6.31,5.0,1.0,1.0,3.1910515931726087,2,0.9957,3.06; 3.04;,
33,0.24,5.0,3.0,1.0,1.114948622767447,8,1.0,1.34; 1.34; 1.34; 1.34; 1.34; 1.34; 1.34; 1.34;,
34,0.174,5.0,3.0,1.0,1.074556537077986,12,1.0,1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12; 1.12;,
35,1.318,5.0,3.0,1.0,1.9027066305746438,3,0.9925,2.47; 2.46; 2.48;,
36,0.39799999999999996,5.0,10.0,1.0,1.3358113964527722,14,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
37,1.66,5.0,10.0,1.0,2.492135696392911,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
38,0.209,5.0,10.0,1.0,1.1655768022374606,16,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
39,0.603,5.0,10.0,1.0,1.5224898503516282,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
40,2.188,5.0,3.0,1.0,2.5630756781093686,3,0.9894,2.44; 2.43; 2.41;,
41,1.38,5.0,3.0,1.0,1.94977955548142,3,0.9949,2.45; 2.47; 2.46;,
42,0.158,5.0,10.0,1.0,1.1204775414604509,18,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
43,5.012,5.0,1.0,1.0,2.737405817793056,2,0.9999,3.06; 3.06;,
44,9.12,5.0,1.0,1.0,4.159930283343907,2,0.9959,3.04; 3.06;,
45,0.275,5.0,3.0,1.0,1.13774944060847,7,0.9793,1.44; 1.46; 1.44; 1.45; 1.44; 1.44; 1.45;,
46,3.6310000000000002,5.0,10.0,1.0,4.304247885782613,10,0.6666,1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.02; 1.02; 1.02;,
